Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value
174,Comoros,2015,Major trading partner 1 (% of exports),India,,15.9
174,Comoros,2020,Major trading partner 1 (% of exports),India,,24
174,Comoros,2023,Major trading partner 1 (% of exports),India,,24.8
174,Comoros,2015,Major trading partner 1 (% of imports),United Arab Emirates,,19.2
174,Comoros,2020,Major trading partner 1 (% of imports),United Arab Emirates,,21.7
174,Comoros,2023,Major trading partner 1 (% of imports),United Arab Emirates,,44.1
174,Comoros,2015,Major trading partner 2 (% of exports),United Rep. Tanzania,,0.3
174,Comoros,2020,Major trading partner 2 (% of exports),United Rep. Tanzania,,0.4
174,Comoros,2023,Major trading partner 2 (% of exports),United Rep. Tanzania,,21.4
174,Comoros,2015,Major trading partner 2 (% of imports),France,,22.9
174,Comoros,2020,Major trading partner 2 (% of imports),France,,16.3
174,Comoros,2023,Major trading partner 2 (% of imports),France,,11.3
174,Comoros,2015,Major trading partner 3 (% of exports),France,,21
174,Comoros,2020,Major trading partner 3 (% of exports),France,,25.5
174,Comoros,2023,Major trading partner 3 (% of exports),France,,19.6
174,Comoros,2015,Major trading partner 3 (% of imports),Pakistan,,24
174,Comoros,2020,Major trading partner 3 (% of imports),Pakistan,,15.5
174,Comoros,2023,Major trading partner 3 (% of imports),Pakistan,,9.7
178,Congo,2015,Major trading partner 1 (% of exports),China,,16
178,Congo,2020,Major trading partner 1 (% of exports),China,,63.8
178,Congo,2023,Major trading partner 1 (% of exports),China,,45.8
178,Congo,2015,Major trading partner 1 (% of imports),China,,10
178,Congo,2020,Major trading partner 1 (% of imports),China,,18.7
178,Congo,2023,Major trading partner 1 (% of imports),China,,19.6
178,Congo,2015,Major trading partner 2 (% of exports),Côte d’Ivoire,,0.5
178,Congo,2020,Major trading partner 2 (% of exports),Côte d’Ivoire,,0
178,Congo,2023,Major trading partner 2 (% of exports),Côte d’Ivoire,,8.6
178,Congo,2015,Major trading partner 2 (% of imports),France,,6.3
178,Congo,2020,Major trading partner 2 (% of imports),France,,14.5
178,Congo,2023,Major trading partner 2 (% of imports),France,,12.5
178,Congo,2015,Major trading partner 3 (% of exports),Togo,,10.9
178,Congo,2020,Major trading partner 3 (% of exports),Togo,,1.9
178,Congo,2023,Major trading partner 3 (% of exports),Togo,,7.5
178,Congo,2015,Major trading partner 3 (% of imports),Belgium,,0.9
178,Congo,2020,Major trading partner 3 (% of imports),Belgium,,7.4
178,Congo,2023,Major trading partner 3 (% of imports),Belgium,,9
188,Costa Rica,2015,Major trading partner 1 (% of exports),United States,,40.8
188,Costa Rica,2020,Major trading partner 1 (% of exports),United States,,43.5
188,Costa Rica,2023,Major trading partner 1 (% of exports),United States,,43.8
188,Costa Rica,2015,Major trading partner 1 (% of imports),United States,,39.8
188,Costa Rica,2020,Major trading partner 1 (% of imports),United States,,37.4
188,Costa Rica,2023,Major trading partner 1 (% of imports),United States,,38.8
188,Costa Rica,2015,Major trading partner 2 (% of exports),Netherlands,,4.6
188,Costa Rica,2020,Major trading partner 2 (% of exports),Netherlands,,7.7
188,Costa Rica,2023,Major trading partner 2 (% of exports),Netherlands,,7.7
188,Costa Rica,2015,Major trading partner 2 (% of imports),China,,12.6
188,Costa Rica,2020,Major trading partner 2 (% of imports),China,,14.5
188,Costa Rica,2023,Major trading partner 2 (% of imports),China,,15.1
188,Costa Rica,2015,Major trading partner 3 (% of exports),Guatemala,,5.5
188,Costa Rica,2020,Major trading partner 3 (% of exports),Guatemala,,5.1
188,Costa Rica,2023,Major trading partner 3 (% of exports),Guatemala,,5.3
188,Costa Rica,2015,Major trading partner 3 (% of imports),Mexico,,7.4
188,Costa Rica,2020,Major trading partner 3 (% of imports),Mexico,,6.8
188,Costa Rica,2023,Major trading partner 3 (% of imports),Mexico,,6.2
384,Côte d’Ivoire,2015,Major trading partner 1 (% of exports),Mali,,3.1
384,Côte d’Ivoire,2020,Major trading partner 1 (% of exports),Mali,,5.3
384,Côte d’Ivoire,2023,Major trading partner 1 (% of exports),Mali,,8.9
384,Côte d’Ivoire,2015,Major trading partner 1 (% of imports),China,,11.6
384,Côte d’Ivoire,2020,Major trading partner 1 (% of imports),China,,15
384,Côte d’Ivoire,2023,Major trading partner 1 (% of imports),China,,14.4
384,Côte d’Ivoire,2015,Major trading partner 2 (% of exports),Netherlands,,11.4
384,Côte d’Ivoire,2020,Major trading partner 2 (% of exports),Netherlands,,10
384,Côte d’Ivoire,2023,Major trading partner 2 (% of exports),Netherlands,,8.7
384,Côte d’Ivoire,2015,Major trading partner 2 (% of imports),Nigeria,,13.9
384,Côte d’Ivoire,2020,Major trading partner 2 (% of imports),Nigeria,,13.1
384,Côte d’Ivoire,2023,Major trading partner 2 (% of imports),Nigeria,,12.1
384,Côte d’Ivoire,2015,Major trading partner 3 (% of exports),Switzerland,,3.6
384,Côte d’Ivoire,2020,Major trading partner 3 (% of exports),Switzerland,,6.5
384,Côte d’Ivoire,2023,Major trading partner 3 (% of exports),Switzerland,,8.1
384,Côte d’Ivoire,2015,Major trading partner 3 (% of imports),France,,12.5
384,Côte d’Ivoire,2020,Major trading partner 3 (% of imports),France,,10.8
384,Côte d’Ivoire,2023,Major trading partner 3 (% of imports),France,,6.7
191,Croatia,2015,Major trading partner 1 (% of exports),Italy,,13.4
191,Croatia,2020,Major trading partner 1 (% of exports),Italy,,12.5
191,Croatia,2023,Major trading partner 1 (% of exports),Italy,,12.2
191,Croatia,2015,Major trading partner 1 (% of imports),Italy,,13.2
191,Croatia,2020,Major trading partner 1 (% of imports),Italy,,12.3
191,Croatia,2023,Major trading partner 1 (% of imports),Italy,,14.5
191,Croatia,2015,Major trading partner 2 (% of exports),Germany,,11.3
191,Croatia,2020,Major trading partner 2 (% of exports),Germany,,12.8
191,Croatia,2023,Major trading partner 2 (% of exports),Germany,,12.2
191,Croatia,2015,Major trading partner 2 (% of imports),Germany,,15.5
191,Croatia,2020,Major trading partner 2 (% of imports),Germany,,15.3
191,Croatia,2023,Major trading partner 2 (% of imports),Germany,,14.2
191,Croatia,2015,Major trading partner 3 (% of exports),Slovenia,,12.3
191,Croatia,2020,Major trading partner 3 (% of exports),Slovenia,,10.4
191,Croatia,2023,Major trading partner 3 (% of exports),Slovenia,,11.2
191,Croatia,2015,Major trading partner 3 (% of imports),Slovenia,,10.7
191,Croatia,2020,Major trading partner 3 (% of imports),Slovenia,,11.3
191,Croatia,2023,Major trading partner 3 (% of imports),Slovenia,,11.5
192,Cuba,2015,Major trading partner 1 (% of exports),Canada,,15.4
192,Cuba,2020,Major trading partner 1 (% of exports),Canada,,25.6
192,Cuba,2023,Major trading partner 1 (% of exports),Canada,,35.5
192,Cuba,2015,Major trading partner 1 (% of imports),Spain,,11
192,Cuba,2020,Major trading partner 1 (% of imports),Spain,,17
192,Cuba,2023,Major trading partner 1 (% of imports),Spain,,21.8
192,Cuba,2015,Major trading partner 2 (% of exports),China,,11.9
192,Cuba,2020,Major trading partner 2 (% of exports),China,,27.5
192,Cuba,2023,Major trading partner 2 (% of exports),China,,21.7
192,Cuba,2015,Major trading partner 2 (% of imports),China,,22.7
192,Cuba,2020,Major trading partner 2 (% of imports),China,,12.1
192,Cuba,2023,Major trading partner 2 (% of imports),China,,11.7
192,Cuba,2015,Major trading partner 3 (% of exports),Spain,,8.5
192,Cuba,2020,Major trading partner 3 (% of exports),Spain,,6.5
192,Cuba,2023,Major trading partner 3 (% of exports),Spain,,7.8
192,Cuba,2015,Major trading partner 3 (% of imports),United States,,2.5
192,Cuba,2020,Major trading partner 3 (% of imports),United States,,4.4
192,Cuba,2023,Major trading partner 3 (% of imports),United States,,9.4
196,Cyprus,2015,Major trading partner 1 (% of exports),Libya,,0.1
196,Cyprus,2020,Major trading partner 1 (% of exports),Libya,,5.9
196,Cyprus,2023,Major trading partner 1 (% of exports),Libya,,15.3
196,Cyprus,2015,Major trading partner 1 (% of imports),Greece,,20.3
196,Cyprus,2020,Major trading partner 1 (% of imports),Greece,,21.6
196,Cyprus,2023,Major trading partner 1 (% of imports),Greece,,21.9
196,Cyprus,2015,Major trading partner 2 (% of exports),Lebanon,,2
196,Cyprus,2020,Major trading partner 2 (% of exports),Lebanon,,3.2
196,Cyprus,2023,Major trading partner 2 (% of exports),Lebanon,,9.5
196,Cyprus,2015,Major trading partner 2 (% of imports),United Kingdom,,8.4
196,Cyprus,2020,Major trading partner 2 (% of imports),United Kingdom,,8.4
196,Cyprus,2023,Major trading partner 2 (% of imports),United Kingdom,,10.3
196,Cyprus,2015,Major trading partner 3 (% of exports),Bunkers,,3.5
196,Cyprus,2020,Major trading partner 3 (% of exports),Bunkers,,4.3
196,Cyprus,2023,Major trading partner 3 (% of exports),Bunkers,,8.4
196,Cyprus,2015,Major trading partner 3 (% of imports),Italy,,6.6
196,Cyprus,2020,Major trading partner 3 (% of imports),Italy,,8.2
196,Cyprus,2023,Major trading partner 3 (% of imports),Italy,,7.7
203,Czechia,2015,Major trading partner 1 (% of exports),Germany,,32.2
203,Czechia,2020,Major trading partner 1 (% of exports),Germany,,32.7
203,Czechia,2023,Major trading partner 1 (% of exports),Germany,,32.8
203,Czechia,2015,Major trading partner 1 (% of imports),Germany,,26
203,Czechia,2020,Major trading partner 1 (% of imports),Germany,,23.3
203,Czechia,2023,Major trading partner 1 (% of imports),Germany,,20.9
203,Czechia,2015,Major trading partner 2 (% of exports),Slovakia,,9
203,Czechia,2020,Major trading partner 2 (% of exports),Slovakia,,7.6
203,Czechia,2023,Major trading partner 2 (% of exports),Slovakia,,7.7
203,Czechia,2015,Major trading partner 2 (% of imports),China,,13.5
203,Czechia,2020,Major trading partner 2 (% of imports),China,,18.1
203,Czechia,2023,Major trading partner 2 (% of imports),China,,17.6
203,Czechia,2015,Major trading partner 3 (% of exports),Poland,,5.9
203,Czechia,2020,Major trading partner 3 (% of exports),Poland,,6.2
203,Czechia,2023,Major trading partner 3 (% of exports),Poland,,7.3
203,Czechia,2015,Major trading partner 3 (% of imports),Poland,,7.9
203,Czechia,2020,Major trading partner 3 (% of imports),Poland,,7.9
203,Czechia,2023,Major trading partner 3 (% of imports),Poland,,8
408,Dem. People's Rep. Korea,2015,Major trading partner 1 (% of exports),China,,82.1
408,Dem. People's Rep. Korea,2020,Major trading partner 1 (% of exports),China,,20.7
408,Dem. People's Rep. Korea,2023,Major trading partner 1 (% of exports),China,,62.6
408,Dem. People's Rep. Korea,2015,Major trading partner 1 (% of imports),China,,78
408,Dem. People's Rep. Korea,2020,Major trading partner 1 (% of imports),China,,52
408,Dem. People's Rep. Korea,2023,Major trading partner 1 (% of imports),China,,80.8
408,Dem. People's Rep. Korea,2020,Major trading partner 2 (% of exports),Papua New Guinea,,19.8
408,Dem. People's Rep. Korea,2023,Major trading partner 2 (% of exports),Papua New Guinea,,12.6
408,Dem. People's Rep. Korea,2020,Major trading partner 2 (% of imports),Papua New Guinea,,40.6
408,Dem. People's Rep. Korea,2023,Major trading partner 2 (% of imports),Papua New Guinea,,17.8
408,Dem. People's Rep. Korea,2015,Major trading partner 3 (% of exports),Senegal,,0
408,Dem. People's Rep. Korea,2020,Major trading partner 3 (% of exports),Senegal,,0.3
408,Dem. People's Rep. Korea,2023,Major trading partner 3 (% of exports),Senegal,,5.6
408,Dem. People's Rep. Korea,2023,Major trading partner 3 (% of imports),Togo,,1
180,Dem. Rep. of the Congo,2015,Major trading partner 1 (% of exports),China,,11.1
180,Dem. Rep. of the Congo,2020,Major trading partner 1 (% of exports),China,,41
180,Dem. Rep. of the Congo,2023,Major trading partner 1 (% of exports),China,,47.1
180,Dem. Rep. of the Congo,2015,Major trading partner 1 (% of imports),China,,15.5
180,Dem. Rep. of the Congo,2020,Major trading partner 1 (% of imports),China,,25.6
180,Dem. Rep. of the Congo,2023,Major trading partner 1 (% of imports),China,,26.5
180,Dem. Rep. of the Congo,2015,Major trading partner 2 (% of exports),Singapore,,0
180,Dem. Rep. of the Congo,2020,Major trading partner 2 (% of exports),Singapore,,7.3
180,Dem. Rep. of the Congo,2023,Major trading partner 2 (% of exports),Singapore,,8.7
180,Dem. Rep. of the Congo,2015,Major trading partner 2 (% of imports),South Africa,,21.2
180,Dem. Rep. of the Congo,2020,Major trading partner 2 (% of imports),South Africa,,9.4
180,Dem. Rep. of the Congo,2023,Major trading partner 2 (% of imports),South Africa,,11.5
180,Dem. Rep. of the Congo,2015,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,0
180,Dem. Rep. of the Congo,2020,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,1.1
180,Dem. Rep. of the Congo,2023,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,7.9
180,Dem. Rep. of the Congo,2015,Major trading partner 3 (% of imports),United Arab Emirates,,3
180,Dem. Rep. of the Congo,2020,Major trading partner 3 (% of imports),United Arab Emirates,,3.2
180,Dem. Rep. of the Congo,2023,Major trading partner 3 (% of imports),United Arab Emirates,,10
208,Denmark,2015,Major trading partner 1 (% of exports),Undisclosed,,2
208,Denmark,2020,Major trading partner 1 (% of exports),Undisclosed,,2.5
208,Denmark,2023,Major trading partner 1 (% of exports),Undisclosed,,22.2
208,Denmark,2015,Major trading partner 1 (% of imports),Germany,,20.5
208,Denmark,2020,Major trading partner 1 (% of imports),Germany,,21.8
208,Denmark,2023,Major trading partner 1 (% of imports),Germany,,18.8
208,Denmark,2015,Major trading partner 2 (% of exports),Germany,,19.6
208,Denmark,2020,Major trading partner 2 (% of exports),Germany,,13.7
208,Denmark,2023,Major trading partner 2 (% of exports),Germany,,13.1
208,Denmark,2015,Major trading partner 2 (% of imports),Sweden,,12.3
208,Denmark,2020,Major trading partner 2 (% of imports),Sweden,,12.6
208,Denmark,2023,Major trading partner 2 (% of imports),Sweden,,11.5
208,Denmark,2015,Major trading partner 3 (% of exports),Sweden,,14.4
208,Denmark,2020,Major trading partner 3 (% of exports),Sweden,,9.8
208,Denmark,2023,Major trading partner 3 (% of exports),Sweden,,7.9
208,Denmark,2015,Major trading partner 3 (% of imports),Norway,,4.7
208,Denmark,2020,Major trading partner 3 (% of imports),Norway,,3.3
208,Denmark,2023,Major trading partner 3 (% of imports),Norway,,10
262,Djibouti,2015,Major trading partner 1 (% of exports),China,,0.7
262,Djibouti,2020,Major trading partner 1 (% of exports),China,,18.4
262,Djibouti,2023,Major trading partner 1 (% of exports),China,,38.6
262,Djibouti,2015,Major trading partner 1 (% of imports),China,,47.1
262,Djibouti,2020,Major trading partner 1 (% of imports),China,,42.1
262,Djibouti,2023,Major trading partner 1 (% of imports),China,,31.4
262,Djibouti,2015,Major trading partner 2 (% of exports),United States,,26.2
262,Djibouti,2020,Major trading partner 2 (% of exports),United States,,16.3
262,Djibouti,2023,Major trading partner 2 (% of exports),United States,,15.6
262,Djibouti,2015,Major trading partner 2 (% of imports),Saudi Arabia,,3.4
262,Djibouti,2020,Major trading partner 2 (% of imports),Saudi Arabia,,2.1
262,Djibouti,2023,Major trading partner 2 (% of imports),Saudi Arabia,,19.2
262,Djibouti,2015,Major trading partner 3 (% of exports),India,,1.2
262,Djibouti,2020,Major trading partner 3 (% of exports),India,,6.9
262,Djibouti,2023,Major trading partner 3 (% of exports),India,,11.5
262,Djibouti,2015,Major trading partner 3 (% of imports),United Arab Emirates,,7.6
262,Djibouti,2020,Major trading partner 3 (% of imports),United Arab Emirates,,13.7
262,Djibouti,2023,Major trading partner 3 (% of imports),United Arab Emirates,,15.3
212,Dominica,2015,Major trading partner 1 (% of exports),Trinidad and Tobago,,1.1
212,Dominica,2020,Major trading partner 1 (% of exports),Trinidad and Tobago,,18.3
212,Dominica,2023,Major trading partner 1 (% of exports),Trinidad and Tobago,,18.1
212,Dominica,2015,Major trading partner 1 (% of imports),United States,,38.1
212,Dominica,2020,Major trading partner 1 (% of imports),United States,,39.2
212,Dominica,2023,Major trading partner 1 (% of imports),United States,,40.4
212,Dominica,2015,Major trading partner 2 (% of exports),Antigua and Barbuda,,20.4
212,Dominica,2020,Major trading partner 2 (% of exports),Antigua and Barbuda,,15.5
212,Dominica,2023,Major trading partner 2 (% of exports),Antigua and Barbuda,,16.1
212,Dominica,2015,Major trading partner 2 (% of imports),Trinidad and Tobago,,16.7
212,Dominica,2020,Major trading partner 2 (% of imports),Trinidad and Tobago,,12.8
212,Dominica,2023,Major trading partner 2 (% of imports),Trinidad and Tobago,,11.5
212,Dominica,2015,Major trading partner 3 (% of exports),France,,16
212,Dominica,2020,Major trading partner 3 (% of exports),France,,8.1
212,Dominica,2023,Major trading partner 3 (% of exports),France,,9.5
212,Dominica,2015,Major trading partner 3 (% of imports),China,,3.5
212,Dominica,2020,Major trading partner 3 (% of imports),China,,5.7
212,Dominica,2023,Major trading partner 3 (% of imports),China,,6.5
214,Dominican Republic,2015,Major trading partner 1 (% of exports),United States,,49.5
214,Dominican Republic,2020,Major trading partner 1 (% of exports),United States,,53.8
214,Dominican Republic,2023,Major trading partner 1 (% of exports),United States,,51.8
214,Dominican Republic,2015,Major trading partner 1 (% of imports),United States,,41.6
214,Dominican Republic,2020,Major trading partner 1 (% of imports),United States,,40.9
214,Dominican Republic,2023,Major trading partner 1 (% of imports),United States,,41
214,Dominican Republic,2015,Major trading partner 2 (% of exports),Switzerland,,0.8
214,Dominican Republic,2020,Major trading partner 2 (% of exports),Switzerland,,11.8
214,Dominican Republic,2023,Major trading partner 2 (% of exports),Switzerland,,10.5
214,Dominican Republic,2015,Major trading partner 2 (% of imports),China,,13.7
214,Dominican Republic,2020,Major trading partner 2 (% of imports),China,,17.6
214,Dominican Republic,2023,Major trading partner 2 (% of imports),China,,15.9
214,Dominican Republic,2015,Major trading partner 3 (% of exports),Haiti,,14.4
214,Dominican Republic,2020,Major trading partner 3 (% of exports),Haiti,,7.6
214,Dominican Republic,2023,Major trading partner 3 (% of exports),Haiti,,10.4
214,Dominican Republic,2015,Major trading partner 3 (% of imports),Brazil,,3.2
214,Dominican Republic,2020,Major trading partner 3 (% of imports),Brazil,,3
214,Dominican Republic,2023,Major trading partner 3 (% of imports),Brazil,,4.3
218,Ecuador,2015,Major trading partner 1 (% of exports),United States,,39.4
218,Ecuador,2020,Major trading partner 1 (% of exports),United States,,23.5
218,Ecuador,2023,Major trading partner 1 (% of exports),United States,,27.7
218,Ecuador,2015,Major trading partner 1 (% of imports),United States,,23.8
218,Ecuador,2020,Major trading partner 1 (% of imports),United States,,22.5
218,Ecuador,2023,Major trading partner 1 (% of imports),United States,,25.9
218,Ecuador,2015,Major trading partner 2 (% of exports),China,,3.9
218,Ecuador,2020,Major trading partner 2 (% of exports),China,,16.3
218,Ecuador,2023,Major trading partner 2 (% of exports),China,,17.6
218,Ecuador,2015,Major trading partner 2 (% of imports),China,,19
218,Ecuador,2020,Major trading partner 2 (% of imports),China,,22
218,Ecuador,2023,Major trading partner 2 (% of imports),China,,22
218,Ecuador,2015,Major trading partner 3 (% of exports),Panama,,2.4
218,Ecuador,2020,Major trading partner 3 (% of exports),Panama,,11.9
218,Ecuador,2023,Major trading partner 3 (% of exports),Panama,,14.1
218,Ecuador,2015,Major trading partner 3 (% of imports),Colombia,,7.6
218,Ecuador,2020,Major trading partner 3 (% of imports),Colombia,,8.4
218,Ecuador,2023,Major trading partner 3 (% of imports),Colombia,,6.2
818,Egypt,2015,Major trading partner 1 (% of exports),Türkiye,,5.8
818,Egypt,2020,Major trading partner 1 (% of exports),Türkiye,,5.8
818,Egypt,2023,Major trading partner 1 (% of exports),Türkiye,,9
818,Egypt,2015,Major trading partner 1 (% of imports),China,,13.1
818,Egypt,2020,Major trading partner 1 (% of imports),China,,16.6
818,Egypt,2023,Major trading partner 1 (% of imports),China,,15.6
818,Egypt,2015,Major trading partner 2 (% of exports),Italy,,7.4
818,Egypt,2020,Major trading partner 2 (% of exports),Italy,,5
818,Egypt,2023,Major trading partner 2 (% of exports),Italy,,7.5
818,Egypt,2015,Major trading partner 2 (% of imports),United States,,5.9
818,Egypt,2020,Major trading partner 2 (% of imports),United States,,6.8
818,Egypt,2023,Major trading partner 2 (% of imports),United States,,6.5
818,Egypt,2015,Major trading partner 3 (% of exports),Saudi Arabia,,9.2
818,Egypt,2020,Major trading partner 3 (% of exports),Saudi Arabia,,6.4
818,Egypt,2023,Major trading partner 3 (% of exports),Saudi Arabia,,6.4
818,Egypt,2015,Major trading partner 3 (% of imports),Saudi Arabia,,4
818,Egypt,2020,Major trading partner 3 (% of imports),Saudi Arabia,,5.4
818,Egypt,2023,Major trading partner 3 (% of imports),Saudi Arabia,,6.3
222,El Salvador,2015,Major trading partner 1 (% of exports),United States,,46.9
222,El Salvador,2020,Major trading partner 1 (% of exports),United States,,41.1
222,El Salvador,2023,Major trading partner 1 (% of exports),United States,,39.2
222,El Salvador,2015,Major trading partner 1 (% of imports),United States,,33.8
222,El Salvador,2020,Major trading partner 1 (% of imports),United States,,26.6
222,El Salvador,2023,Major trading partner 1 (% of imports),United States,,29.8
222,El Salvador,2015,Major trading partner 2 (% of exports),Guatemala,,13.6
222,El Salvador,2020,Major trading partner 2 (% of exports),Guatemala,,16.4
222,El Salvador,2023,Major trading partner 2 (% of exports),Guatemala,,17.1
222,El Salvador,2015,Major trading partner 2 (% of imports),China,,13.6
222,El Salvador,2020,Major trading partner 2 (% of imports),China,,14.6
222,El Salvador,2023,Major trading partner 2 (% of imports),China,,16.6
222,El Salvador,2015,Major trading partner 3 (% of exports),Honduras,,14
222,El Salvador,2020,Major trading partner 3 (% of exports),Honduras,,15.6
222,El Salvador,2023,Major trading partner 3 (% of exports),Honduras,,16.7
222,El Salvador,2015,Major trading partner 3 (% of imports),Guatemala,,9.9
222,El Salvador,2020,Major trading partner 3 (% of imports),Guatemala,,11.2
222,El Salvador,2023,Major trading partner 3 (% of imports),Guatemala,,9.9
226,Equatorial Guinea,2015,Major trading partner 1 (% of exports),China,,17
226,Equatorial Guinea,2020,Major trading partner 1 (% of exports),China,,37.4
226,Equatorial Guinea,2023,Major trading partner 1 (% of exports),China,,22.7
226,Equatorial Guinea,2015,Major trading partner 1 (% of imports),China,,8.9
226,Equatorial Guinea,2020,Major trading partner 1 (% of imports),China,,9.5
226,Equatorial Guinea,2023,Major trading partner 1 (% of imports),China,,17.7
226,Equatorial Guinea,2015,Major trading partner 2 (% of exports),India,,6.1
226,Equatorial Guinea,2020,Major trading partner 2 (% of exports),India,,11.3
226,Equatorial Guinea,2023,Major trading partner 2 (% of exports),India,,13
226,Equatorial Guinea,2015,Major trading partner 2 (% of imports),Spain,,9.9
226,Equatorial Guinea,2020,Major trading partner 2 (% of imports),Spain,,14.7
226,Equatorial Guinea,2023,Major trading partner 2 (% of imports),Spain,,14.6
226,Equatorial Guinea,2015,Major trading partner 3 (% of exports),Netherlands,,4.8
226,Equatorial Guinea,2020,Major trading partner 3 (% of exports),Netherlands,,2.6
226,Equatorial Guinea,2023,Major trading partner 3 (% of exports),Netherlands,,10.5
226,Equatorial Guinea,2015,Major trading partner 3 (% of imports),Gabon,,41.2
226,Equatorial Guinea,2020,Major trading partner 3 (% of imports),Gabon,,4.2
226,Equatorial Guinea,2023,Major trading partner 3 (% of imports),Gabon,,12.7
232,Eritrea,2015,Major trading partner 1 (% of exports),China,,39.2
232,Eritrea,2020,Major trading partner 1 (% of exports),China,,47.6
232,Eritrea,2023,Major trading partner 1 (% of exports),China,,45.9
232,Eritrea,2015,Major trading partner 1 (% of imports),China,,33.1
232,Eritrea,2020,Major trading partner 1 (% of imports),China,,22.7
232,Eritrea,2023,Major trading partner 1 (% of imports),China,,31.8
232,Eritrea,2015,Major trading partner 2 (% of exports),United Arab Emirates,,4.6
232,Eritrea,2020,Major trading partner 2 (% of exports),United Arab Emirates,,41
232,Eritrea,2023,Major trading partner 2 (% of exports),United Arab Emirates,,39.7
232,Eritrea,2015,Major trading partner 2 (% of imports),United Arab Emirates,,13.1
232,Eritrea,2020,Major trading partner 2 (% of imports),United Arab Emirates,,25
232,Eritrea,2023,Major trading partner 2 (% of imports),United Arab Emirates,,24.8
232,Eritrea,2015,Major trading partner 3 (% of exports),Republic of Korea,,3
232,Eritrea,2020,Major trading partner 3 (% of exports),Republic of Korea,,7.9
232,Eritrea,2023,Major trading partner 3 (% of exports),Republic of Korea,,9.6
232,Eritrea,2015,Major trading partner 3 (% of imports),Türkiye,,3.4
232,Eritrea,2020,Major trading partner 3 (% of imports),Türkiye,,3.2
232,Eritrea,2023,Major trading partner 3 (% of imports),Türkiye,,9
233,Estonia,2015,Major trading partner 1 (% of exports),Finland,,14.5
233,Estonia,2020,Major trading partner 1 (% of exports),Finland,,15
233,Estonia,2023,Major trading partner 1 (% of exports),Finland,,15.4
233,Estonia,2015,Major trading partner 1 (% of imports),Germany,,9.7
233,Estonia,2020,Major trading partner 1 (% of imports),Germany,,9.7
233,Estonia,2023,Major trading partner 1 (% of imports),Germany,,11.1
233,Estonia,2015,Major trading partner 2 (% of exports),Latvia,,9.5
233,Estonia,2020,Major trading partner 2 (% of exports),Latvia,,8.7
233,Estonia,2023,Major trading partner 2 (% of exports),Latvia,,11.6
233,Estonia,2015,Major trading partner 2 (% of imports),China,,8
233,Estonia,2020,Major trading partner 2 (% of imports),China,,9.3
233,Estonia,2023,Major trading partner 2 (% of imports),China,,9.3
233,Estonia,2015,Major trading partner 3 (% of exports),Sweden,,17.3
233,Estonia,2020,Major trading partner 3 (% of exports),Sweden,,10
233,Estonia,2023,Major trading partner 3 (% of exports),Sweden,,9.1
233,Estonia,2015,Major trading partner 3 (% of imports),Finland,,9.9
233,Estonia,2020,Major trading partner 3 (% of imports),Finland,,9
233,Estonia,2023,Major trading partner 3 (% of imports),Finland,,8.6
748,Eswatini,2015,Major trading partner 1 (% of exports),South Africa,,62.7
748,Eswatini,2020,Major trading partner 1 (% of exports),South Africa,,65
748,Eswatini,2023,Major trading partner 1 (% of exports),South Africa,,67.9
748,Eswatini,2015,Major trading partner 1 (% of imports),South Africa,,79.2
748,Eswatini,2020,Major trading partner 1 (% of imports),South Africa,,71.4
748,Eswatini,2023,Major trading partner 1 (% of imports),South Africa,,72.4
748,Eswatini,2015,Major trading partner 2 (% of exports),Kenya,,3.9
748,Eswatini,2020,Major trading partner 2 (% of exports),Kenya,,7.2
748,Eswatini,2023,Major trading partner 2 (% of exports),Kenya,,5.6
748,Eswatini,2015,Major trading partner 2 (% of imports),China,,4.1
748,Eswatini,2020,Major trading partner 2 (% of imports),China,,7.3
748,Eswatini,2023,Major trading partner 2 (% of imports),China,,9.7
748,Eswatini,2015,Major trading partner 3 (% of exports),Nigeria,,4.6
748,Eswatini,2020,Major trading partner 3 (% of exports),Nigeria,,5.9
748,Eswatini,2023,Major trading partner 3 (% of exports),Nigeria,,3.9
748,Eswatini,2015,Major trading partner 3 (% of imports),India,,4.1
748,Eswatini,2020,Major trading partner 3 (% of imports),India,,3.4
748,Eswatini,2023,Major trading partner 3 (% of imports),India,,2.7
238,Falkland Islands (Malvinas),2015,Major trading partner 1 (% of exports),Spain,,70.8
238,Falkland Islands (Malvinas),2020,Major trading partner 1 (% of exports),Spain,,55.8
238,Falkland Islands (Malvinas),2023,Major trading partner 1 (% of exports),Spain,,69.3
238,Falkland Islands (Malvinas),2015,Major trading partner 1 (% of imports),United Kingdom,,78.4
238,Falkland Islands (Malvinas),2020,Major trading partner 1 (% of imports),United Kingdom,,58.4
238,Falkland Islands (Malvinas),2023,Major trading partner 1 (% of imports),United Kingdom,,69.1
238,Falkland Islands (Malvinas),2015,Major trading partner 2 (% of exports),Morocco,,0.1
238,Falkland Islands (Malvinas),2020,Major trading partner 2 (% of exports),Morocco,,2
238,Falkland Islands (Malvinas),2023,Major trading partner 2 (% of exports),Morocco,,9.8
